Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC Part
"3V3TP1, 5VTP1, GNDTP1, GNDTP2, VCCTP1",5,TestPoint,TestPoint_THTPad_D1.0mm_Drill0.5mm,,,,tht,test point,
"ADC1, ADC2",2,ADS1115IDGSR,TSSOP-10_3x3mm_P0.5mm,,,,smt,"Ultra-Small, Low-Power, I2C-Compatible, 860-SPS, 16-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10",
"AMUX1, AMUX2, AMUX3",3,CD74HC4067M,SOIC-24W_7.5x15.4mm_P1.27mm,,,,smt,"High-Speed CMOS Logic 16-Channel Analog Multiplexer/Demultiplexer, SOIC-24",
BUCK1,1,~,mini560,,,,tht,,
C1,1,100uF,CP_Elec_6.3x7.7,,,,smt,Polarized capacitor,
C2,1,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Unpolarized capacitor,
C3,1,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Unpolarized capacitor,
C4,1,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Unpolarized capacitor,
C5,1,470uF,CP_Elec_6.3x7.7,,,,smt,Polarized capacitor,
"CTRL1, LOADCELL1",2,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",
"DMUX1, DMUX2",2,MCP23S17_SO,SOIC-28W_7.5x17.9mm_P1.27mm,,,,smt,"16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28",
"DRV1, DRV2, DRV3, DRV4, DRV5",5,~,DRV8224_breakout,,,,smt,,
"ESC1, LIGHTGATE1",2,Conn_01x03,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
FH1,1,01550900M,FUSE-SMD_L9.8-W5.0,,,,smt,,C108518
GATE_LED1,1,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
KICK1,1,~,kicker,,,,tht,,
LDO1,1,TLV1117-33,SOT-223-3_TabPin2,,,,smt,"800mA Low-Dropout Linear Regulator, 3.3V fixed output, TO-220/TO-252/TO-263/SOT-223",
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED5, LED6, LED7, LED8, LED9",48,2.8-3.4V 1400mcd@20mA,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Light emitting diode,
MCU1,1,Pico,RPi_Pico_SMD_TH_USBC_cable_cutout,,,,tht,,
"MOUSE1, MOUSE2",2,~,PMW3360_breakout,,,,tht,,
"MOUSE_FPC1, MOUSE_FPC2",2,FC10-S08FCT-00,FPC-SMD_8P-P1.00_DEALON_FC10-S08FCT-00,,,,smt,,C2998898
"PR1, PR10, PR11, PR12, PR13, PR14, PR15, PR16, PR17, PR18, PR19, PR2, PR20, PR21, PR22, PR23, PR24, PR25, PR26, PR27, PR28, PR29, PR3, PR30, PR31, PR32, PR33, PR34, PR35, PR36, PR37, PR38, PR39, PR4, PR40, PR41, PR42, PR43, PR44, PR45, PR46, PR47, PR48, PR5, PR6, PR7, PR8, PR9",48,ALS-PT19,SENSORS-SMD_ALS-PT19,,,,smt,,C146233
PWR1,1,XT60-M,AMASS_XT60-M_1x02_P7.20mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"PWR2, PWR3",2,XT30-F,AMASS_XT30U-F_1x02_P5.0mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"R1, R2",2,2.7K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Resistor,
"R10, R12, R14, R16, R18, R20, R22, R24, R26, R28, R30, R32, R34, R36, R38, R4, R40, R42, R44, R46, R48, R50, R52, R54, R56, R58, R6, R60, R62, R64, R66, R68, R70, R72, R74, R76, R78, R8, R80, R82, R84, R86, R88, R90, R92, R94, R96, R98",48,220R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Resistor,
"R11, R13, R15, R17, R19, R21, R23, R25, R27, R29, R3, R31, R33, R35, R37, R39, R41, R43, R45, R47, R49, R5, R51, R53, R55, R57, R59, R61, R63, R65, R67, R69, R7, R71, R73, R75, R77, R79, R81, R83, R85, R87, R89, R9, R91, R93, R95, R97",48,4.7k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Resistor,
SW1,1,MT-0-102-A101-M200-RS+PJ,SW-TH_MT-0-103-A101-M200-RS,,,,tht,,C1788492
"SW2, SW3",2,TS4535TP 250GF 009,SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,,,,smt,,C5342982
